00000,00000,0
00000,00001,1
00000,00010,1
00000,00011,2
00000,00100,1
00000,00101,2
00000,00110,2
00000,00111,3
00000,01000,1
00000,01001,2
00000,01010,2
00000,01011,3
00000,01100,2
00000,01101,3
00000,01110,3
00000,01111,4
00000,10000,1
00000,10001,2
00000,10010,2
00000,10011,3
00000,10100,2
00000,10101,3
00000,10110,3
00000,10111,4
00000,11000,2
00000,11001,3
00000,11010,3
00000,11011,4
00000,11100,3
00000,11101,4
00000,11110,4
00000,11111,5
00001,00000,1
00001,00001,0
00001,00010,2
00001,00011,1
00001,00100,2
00001,00101,1
00001,00110,3
00001,00111,2
00001,01000,2
00001,01001,1
00001,01010,3
00001,01011,2
00001,01100,3
00001,01101,2
00001,01110,4
00001,01111,3
00001,10000,2
00001,10001,1
00001,10010,3
00001,10011,2
00001,10100,3
00001,10101,2
00001,10110,4
00001,10111,3
00001,11000,3
00001,11001,2
00001,11010,4
00001,11011,3
00001,11100,4
00001,11101,3
00001,11110,5
00001,11111,4
00010,00000,1
00010,00001,2
00010,00010,0
00010,00011,1
00010,00100,2
00010,00101,2
00010,00110,1
00010,00111,2
00010,01000,2
00010,01001,2
00010,01010,1
00010,01011,2
00010,01100,3
00010,01101,3
00010,01110,2
00010,01111,3
00010,10000,2
00010,10001,2
00010,10010,1
00010,10011,2
00010,10100,3
00010,10101,3
00010,10110,2
00010,10111,3
00010,11000,3
00010,11001,3
00010,11010,2
00010,11011,3
00010,11100,4
00010,11101,4
00010,11110,3
00010,11111,4
00011,00000,2
00011,00001,1
00011,00010,1
00011,00011,0
00011,00100,3
00011,00101,2
00011,00110,2
00011,00111,1
00011,01000,3
00011,01001,2
00011,01010,2
00011,01011,1
00011,01100,4
00011,01101,3
00011,01110,3
00011,01111,2
00011,10000,3
00011,10001,2
00011,10010,2
00011,10011,1
00011,10100,4
00011,10101,3
00011,10110,3
00011,10111,2
00011,11000,4
00011,11001,3
00011,11010,3
00011,11011,2
00011,11100,5
00011,11101,4
00011,11110,4
00011,11111,3
00100,00000,1
00100,00001,2
00100,00010,2
00100,00011,3
00100,00100,0
00100,00101,1
00100,00110,1
00100,00111,2
00100,01000,2
00100,01001,2
00100,01010,2
00100,01011,3
00100,01100,1
00100,01101,2
00100,01110,2
00100,01111,3
00100,10000,2
00100,10001,3
00100,10010,2
00100,10011,3
00100,10100,1
00100,10101,2
00100,10110,2
00100,10111,3
00100,11000,3
00100,11001,3
00100,11010,3
00100,11011,4
00100,11100,2
00100,11101,3
00100,11110,3
00100,11111,4
00101,00000,2
00101,00001,1
00101,00010,2
00101,00011,2
00101,00100,1
00101,00101,0
00101,00110,2
00101,00111,1
00101,01000,3
00101,01001,2
00101,01010,2
00101,01011,2
00101,01100,2
00101,01101,1
00101,01110,3
00101,01111,2
00101,10000,3
00101,10001,2
00101,10010,2
00101,10011,2
00101,10100,2
00101,10101,1
00101,10110,3
00101,10111,2
00101,11000,4
00101,11001,3
00101,11010,3
00101,11011,3
00101,11100,3
00101,11101,2
00101,11110,4
00101,11111,3
00110,00000,2
00110,00001,3
00110,00010,1
00110,00011,2
00110,00100,1
00110,00101,2
00110,00110,0
00110,00111,1
00110,01000,3
00110,01001,3
00110,01010,2
00110,01011,2
00110,01100,2
00110,01101,2
00110,01110,1
00110,01111,2
00110,10000,3
00110,10001,3
00110,10010,2
00110,10011,2
00110,10100,2
00110,10101,3
00110,10110,1
00110,10111,2
00110,11000,4
00110,11001,4
00110,11010,3
00110,11011,3
00110,11100,3
00110,11101,3
00110,11110,2
00110,11111,3
00111,00000,3
00111,00001,2
00111,00010,2
00111,00011,1
00111,00100,2
00111,00101,1
00111,00110,1
00111,00111,0
00111,01000,4
00111,01001,3
00111,01010,3
00111,01011,2
00111,01100,3
00111,01101,2
00111,01110,2
00111,01111,1
00111,10000,4
00111,10001,3
00111,10010,3
00111,10011,2
00111,10100,3
00111,10101,2
00111,10110,2
00111,10111,1
00111,11000,5
00111,11001,4
00111,11010,4
00111,11011,3
00111,11100,4
00111,11101,3
00111,11110,3
00111,11111,2
01000,00000,1
01000,00001,2
01000,00010,2
01000,00011,3
01000,00100,2
01000,00101,3
01000,00110,3
01000,00111,4
01000,01000,0
01000,01001,1
01000,01010,1
01000,01011,2
01000,01100,1
01000,01101,2
01000,01110,2
01000,01111,3
01000,10000,2
01000,10001,2
01000,10010,2
01000,10011,3
01000,10100,2
01000,10101,3
01000,10110,3
01000,10111,4
01000,11000,1
01000,11001,2
01000,11010,2
01000,11011,3
01000,11100,2
01000,11101,3
01000,11110,3
01000,11111,4
01001,00000,2
01001,00001,1
01001,00010,2
01001,00011,2
01001,00100,2
01001,00101,2
01001,00110,3
01001,00111,3
01001,01000,1
01001,01001,0
01001,01010,2
01001,01011,1
01001,01100,2
01001,01101,1
01001,01110,3
01001,01111,2
01001,10000,3
01001,10001,2
01001,10010,2
01001,10011,2
01001,10100,2
01001,10101,2
01001,10110,3
01001,10111,3
01001,11000,2
01001,11001,1
01001,11010,3
01001,11011,2
01001,11100,3
01001,11101,2
