method,seed,feed,spearman,auroc,map10
SNNEED,0,synth,0.8196923699287453,0.9042101054377444,0.9281950914423739
SNNEED,0,3Di,0.325925305486371,0.9936084589284305,0.740357772738725
SNNEED,0,SS,0.9137881843846285,0.9840009346562758,0.5086710380018522
SNNEED,0,AA,-0.1927161730177543,,
Dice,0,synth,0.974211631014909,0.997966275717727,1.0
Dice,0,3Di,0.8079476253340273,0.8022173123964333,0.18623078861174097
Dice,0,SS,0.6490901323291804,0.8371404710494547,0.053750174131085876
Dice,0,AA,0.2113057455782492,,
