arm,config,dataset,n_train,epochs,n_steps,n_params,spearman,spearman_far,spearman_mid,spearman_high,auroc,map10,rmse_high,train_loss_online,train_mse_final,spearman_sd,spearman_far_sd,spearman_mid_sd,spearman_high_sd,auroc_sd,map10_sd,rmse_high_sd,train_loss_online_sd,train_mse_final_sd
0-baseline,K=16,3Di,30000.0,30.0,7050.0,141184.0,0.954802707598546,0.609054169230176,0.7059847383324808,0.8667902363446811,0.991382926654898,0.5056403369509471,0.0672836400754719,0.0025391629906992117,0.0021042591896322034,0.009777022258873284,0.07415130940449255,0.04342657133748345,0.01963176764134265,0.0007596576886725482,0.029105172238455136,0.0014783492511958578,4.25902921777644e-05,5.1787855685555104e-05
0-baseline,K=16,AA,30000.0,30.0,7050.0,141184.0,0.18709492179896484,0.16580268283999655,,,0.9993393889347647,0.8352777777777778,0.12998155398392067,0.0025391629906992117,0.0021042591896322034,0.01909683717518751,0.023450776796953142,,,0.0008739062959750756,0.07538942110677606,0.020791003340447204,4.25902921777644e-05,5.1787855685555104e-05
0-baseline,K=16,SS,30000.0,30.0,7050.0,141184.0,0.9638358775591338,0.7284643616400187,0.7593768533761657,0.8519289340030823,0.9863845859757584,0.41142304609435887,0.05686307273895371,0.0025391629906992117,0.0021042591896322034,0.010000337869432711,0.025157150001359496,0.06696941210428009,0.01198750269169868,0.008377175208900502,0.019955291518712285,0.004005298778238845,4.25902921777644e-05,5.1787855685555104e-05
0-baseline,K=16,Synth,30000.0,30.0,7050.0,141184.0,0.9248977353118536,-0.06991492383121911,0.5764757613822995,0.8657894867815935,0.96914332818695,0.9747808404136205,0.11634820924648848,0.0025391629906992117,0.0021042591896322034,0.0007684160998464414,0.034189604341906404,0.01166658847840102,0.002388633008093821,0.002040947250590323,0.0031353219448843187,0.0024834958647103776,4.25902921777644e-05,5.1787855685555104e-05
E-epochs,epochs=10,3Di,30000.0,10.0,2350.0,141184.0,0.9519888688307091,0.5974021641428133,0.7008693606086682,0.86672844415031,0.9903096695428374,0.5091907625112876,0.06239826297442025,0.0038496847528964283,0.0032046964055962037,0.016930873626742865,0.16560026665061192,0.043694485396658274,0.029431512695838793,0.0011752316295964389,0.03664885374071134,0.007399344656994782,7.525965713488957e-05,2.052059617497203e-05
E-epochs,epochs=10,AA,30000.0,10.0,2350.0,141184.0,0.20907445092387145,0.18574343556975423,,,0.9991191852463528,0.9533333333333333,0.1173537826498639,0.0038496847528964283,0.0032046964055962037,0.020008439034604135,0.015229395069181993,,,0.0015256159053731158,0.04509249752822897,0.012325482276236551,7.525965713488957e-05,2.052059617497203e-05
E-epochs,epochs=10,SS,30000.0,10.0,2350.0,141184.0,0.9597839672575309,0.7399318377658496,0.7422849980707479,0.8461956420938158,0.9820843868956021,0.4137867518511498,0.06276837547652732,0.0038496847528964283,0.0032046964055962037,0.01832620121087247,0.0232846206259494,0.09917025843213075,0.026814818532742802,0.015367941754660606,0.029753066009381206,0.011954565912460533,7.525965713488957e-05,2.052059617497203e-05
E-epochs,epochs=10,Synth,30000.0,10.0,2350.0,141184.0,0.9301810356021414,-0.016857758458686093,0.5894604974826183,0.8672608908071057,0.9703772146007816,0.9877867790730862,0.1105265242266353,0.0038496847528964283,0.0032046964055962037,0.0006218188283644801,0.020037178651566817,0.01799150599133771,0.009317723437163836,0.002945829827187271,0.002991568443563102,0.0014626182902940687,7.525965713488957e-05,2.052059617497203e-05
E-epochs,epochs=20,3Di,30000.0,20.0,4700.0,141184.0,0.9556155580775094,0.6274745422386987,0.708451727892549,0.8708494461244517,0.9913521301810944,0.5077927429110186,0.06701096506554464,0.002915694790830215,0.0024691717081599764,0.009374980270088247,0.059704435730452796,0.03332584425936806,0.02291216512258949,0.0003638043086552193,0.028947247989087814,0.002092874897099394,5.8398696786288694e-05,5.23103043248291e-05
E-epochs,epochs=20,AA,30000.0,20.0,4700.0,141184.0,0.20596053068215006,0.1844491950160412,,,0.9994494907789706,0.9083333333333333,0.12239432938494893,0.002915694790830215,0.0024691717081599764,0.043268164103774986,0.050298633542348946,,,0.0009535099408581873,0.038188130791298645,0.01636857241666775,5.8398696786288694e-05,5.23103043248291e-05
E-epochs,epochs=20,SS,30000.0,20.0,4700.0,141184.0,0.9617568721098292,0.7048219880954724,0.7627312232207274,0.8501489754861186,0.98484352387521,0.41632191415710307,0.05697605968763858,0.002915694790830215,0.0024691717081599764,0.01374125585400479,0.0867423930375886,0.08573617475031307,0.017395238119012606,0.010420135808974228,0.022074812934293024,0.004272867294709374,5.8398696786288694e-05,5.23103043248291e-05
E-epochs,epochs=20,Synth,30000.0,20.0,4700.0,141184.0,0.926532674438803,-0.03897351493053214,0.5717942667704158,0.868315844144047,0.9694198401280878,0.9792150211859756,0.11274138306922066,0.002915694790830215,0.0024691717081599764,0.0008856194354760724,0.03857610710579443,0.015647655423172743,0.010361447847878246,0.0018445522754675717,0.003277385000856409,0.002305513640172556,5.8398696786288694e-05,5.23103043248291e-05
E-epochs,epochs=30,3Di,30000.0,30.0,7050.0,141184.0,0.9543479636736351,0.6089082948167478,0.7095755477045592,0.868636072406208,0.9916207194276255,0.5083794948494927,0.0677230664547543,0.002525644181875719,0.002107098259528478,0.009865675144543735,0.07575689050400357,0.031832631077412785,0.020925140696223914,0.0020132092141074095,0.026911330078938644,0.003660606321737537,5.4081537035987525e-05,7.960049741798207e-05
E-epochs,epochs=30,AA,30000.0,30.0,7050.0,141184.0,0.2007586984221428,0.1802802829815742,,,0.9994494907789706,0.8833333333333333,0.12969412565256289,0.002525644181875719,0.002107098259528478,0.02856784368181352,0.03216304160824026,,,0.0006875857966857239,0.0577350269189626,0.014602150516262995,5.4081537035987525e-05,7.960049741798207e-05
E-epochs,epochs=30,SS,30000.0,30.0,7050.0,141184.0,0.9636472288429174,0.6999825741351952,0.7666418711967378,0.8511648229519921,0.9866056133450032,0.4133917960675942,0.056723046788202613,0.002525644181875719,0.002107098259528478,0.007889943654374992,0.046666019244482645,0.05913399616290326,0.010544402728699652,0.006877364079700092,0.01673931346587869,0.004798533590828711,5.4081537035987525e-05,7.960049741798207e-05
E-epochs,epochs=30,Synth,30000.0,30.0,7050.0,141184.0,0.925127759816843,-0.059777811436536966,0.5793302078239091,0.8672726586989299,0.9682007870739161,0.973706393115107,0.11713602088185042,0.002525644181875719,0.002107098259528478,0.0013250617281564407,0.03591946907471605,0.0194911465837068,0.008393685475477416,0.0019994079464613454,0.00422590398269675,0.0021375714636030084,5.4081537035987525e-05,7.960049741798207e-05
