arm,config,seed,dataset,protocol_sig,spearman,auroc,map10,rmse_high,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,n_train,epochs,n_steps,n_params,train_loss_online,train_mse_final
P-pooling-width,K=8,0,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9629221870089756,0.9913843564911818,0.47269862235640336,0.08024972101777653,3699.0,347.0,0.7576265619662,1200.0,0.6944952530347358,1274.0,0.8920001893792793,1225.0,30000.0,30.0,7050.0,75648.0,0.0033771237996717295,0.002980681320031484
P-pooling-width,K=8,0,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9751222385476018,0.9912679551574257,0.32153527468794474,0.08234464607857601,4000.0,10002.0,0.8076159026643551,1200.0,0.8368152254833474,1397.0,0.8404239961291402,1403.0,30000.0,30.0,7050.0,75648.0,0.0033771237996717295,0.002980681320031484
P-pooling-width,K=8,0,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.29701732391055713,1.0,1.0,0.058848487081058436,1216.0,10.0,0.2764506191039769,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,75648.0,0.0033771237996717295,0.002980681320031484
P-pooling-width,K=8,1,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9326449494836818,0.9765630652741426,0.9858204900217348,0.1061291880988321,3648.0,2410.0,-0.025065345914654185,848.0,0.5959483132412271,1595.0,0.8930769340465586,1205.0,30000.0,30.0,7050.0,75648.0,0.003475340589384238,0.0031405208706855774
P-pooling-width,K=8,1,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9510473509915378,0.9865124643228351,0.4433144078423342,0.0703992333707892,3699.0,347.0,0.6831379058938858,1200.0,0.6363699921691083,1274.0,0.8626956756777098,1225.0,30000.0,30.0,7050.0,75648.0,0.003475340589384238,0.0031405208706855774
P-pooling-width,K=8,1,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9731884301954934,0.9885080405566924,0.3157567552060261,0.08253316288143515,4000.0,10002.0,0.8396154377740532,1200.0,0.8070166608588766,1397.0,0.8324800254747884,1403.0,30000.0,30.0,7050.0,75648.0,0.003475340589384238,0.0031405208706855774
P-pooling-width,K=8,1,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.3321451238692012,1.0,1.0,0.0977813407798887,1216.0,10.0,0.3102806636633411,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,75648.0,0.003475340589384238,0.0031405208706855774
P-pooling-width,K=8,2,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.930817912235578,0.973059108673609,0.9802568662319701,0.1091180742311487,3648.0,2410.0,-0.04408362759859859,848.0,0.5834741851669079,1595.0,0.881719425685947,1205.0,30000.0,30.0,7050.0,75648.0,0.003489119685192903,0.0031026756008466086
P-pooling-width,K=8,2,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.963221731118189,0.9898002078761982,0.4700420078373968,0.09025214203314173,3699.0,347.0,0.7307711339588826,1200.0,0.7266177696750632,1274.0,0.8545282007965621,1225.0,30000.0,30.0,7050.0,75648.0,0.003489119685192903,0.0031026756008466086
P-pooling-width,K=8,2,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9520426962580714,0.9785036245835496,0.30559323276438183,0.06154392309117141,4000.0,10002.0,0.6504475048505034,1200.0,0.7297879622529155,1397.0,0.7916319706097829,1403.0,30000.0,30.0,7050.0,75648.0,0.003489119685192903,0.0031026756008466086
P-pooling-width,K=8,2,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.3235556751438064,1.0,1.0,0.07014067438083532,1216.0,10.0,0.30120088890160496,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,75648.0,0.003489119685192903,0.0031026756008466086
P-pooling-width,K=32,0,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.908625388885226,0.9600212649232375,0.9452543963643548,0.1322658846868545,3648.0,2410.0,-0.050691416383279675,848.0,0.49836079529514743,1595.0,0.8397189961993473,1205.0,30000.0,30.0,7050.0,272256.0,0.0015602684133996566,0.0012981601436932882
P-pooling-width,K=32,0,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9505355615180157,0.9880781350535364,0.5168165172195466,0.04287275526595374,3699.0,347.0,0.5767781771870353,1200.0,0.6661306823042471,1274.0,0.8877638455036485,1225.0,30000.0,30.0,7050.0,272256.0,0.0015602684133996566,0.0012981601436932882
P-pooling-width,K=32,0,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9480326698618664,0.9919118254491243,0.4616867214551547,0.04676556657321052,4000.0,10002.0,0.43831326199026854,1200.0,0.7394810595151473,1397.0,0.8710312267937467,1403.0,30000.0,30.0,7050.0,272256.0,0.0015602684133996566,0.0012981601436932882
P-pooling-width,K=32,0,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.12090597755228079,0.9995045417010735,0.675,0.1613217199092509,1216.0,10.0,0.10965372099299224,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,272256.0,0.0015602684133996566,0.0012981601436932882
P-pooling-width,K=32,1,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9097699048557293,0.9586976423450522,0.9477007179081869,0.12393233333783046,3648.0,2410.0,-0.10192304228762848,848.0,0.5330238238786111,1595.0,0.8450517906021354,1205.0,30000.0,30.0,7050.0,272256.0,0.0016321475767840943,0.001292052302757899
P-pooling-width,K=32,1,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8774921027325102,0.990222229554716,0.5058154121131856,0.054283234718978154,3699.0,347.0,0.13418130980047335,1200.0,0.5483476608460344,1274.0,0.8792394558326705,1225.0,30000.0,30.0,7050.0,272256.0,0.0016321475767840943,0.001292052302757899
P-pooling-width,K=32,1,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.953378386674077,0.990433064523433,0.458331039590142,0.04732887546959113,4000.0,10002.0,0.5648864880511241,1200.0,0.7456802157974001,1397.0,0.8709987210444571,1403.0,30000.0,30.0,7050.0,272256.0,0.0016321475767840943,0.001292052302757899
P-pooling-width,K=32,1,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.15071032300154263,0.9887696118909992,0.6333333333333333,0.19213717283213796,1216.0,10.0,0.12629287381351786,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,272256.0,0.0016321475767840943,0.001292052302757899
P-pooling-width,K=32,2,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9104885867994256,0.9614034849336659,0.9448440690245669,0.12472462602219639,3648.0,2410.0,-0.0786158396123644,848.0,0.5303468151269582,1595.0,0.8275530869098727,1205.0,30000.0,30.0,7050.0,272256.0,0.0016404704457769791,0.0012972428540388742
P-pooling-width,K=32,2,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9555530486096615,0.9915430683186776,0.5606501376300332,0.04820418483655648,3699.0,347.0,0.6130741247758793,1200.0,0.7200722571050202,1274.0,0.8731075644877101,1225.0,30000.0,30.0,7050.0,272256.0,0.0016404704457769791,0.0012972428540388742
P-pooling-width,K=32,2,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8935820958596975,0.945817464144576,0.3862576500667365,0.11129283213191023,4000.0,10002.0,0.5245786306562205,1200.0,0.5573053832363476,1397.0,0.7590673931470774,1403.0,30000.0,30.0,7050.0,272256.0,0.0016404704457769791,0.0012972428540388742
P-pooling-width,K=32,2,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.152979973174426,0.9996696944673823,0.8333333333333333,0.13146683258095765,1216.0,10.0,0.13106772316564694,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,272256.0,0.0016404704457769791,0.0012972428540388742
N-no-pooling,flatten,0,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8277903839069972,0.9188077375786183,0.6486104524797471,0.16145562962279134,3648.0,2410.0,-0.1832955119613886,848.0,0.3129463689930689,1595.0,0.6754640568760497,1205.0,30000.0,30.0,7050.0,1648512.0,0.0003956486737666031,0.00039164408246676125
N-no-pooling,flatten,0,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.749714055431751,0.9710867305693498,0.375193762102984,0.14132079742190698,3699.0,347.0,-0.12839465868393016,1200.0,0.37136257874358547,1274.0,0.7481646382639255,1225.0,30000.0,30.0,7050.0,1648512.0,0.0003956486737666031,0.00039164408246676125
